brand,product_name,current_price,shipping ,
Msi, MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER VENTUS XS OC Video Card,249, Free,
Msi, MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC Video Card,339, Free,
Sapphire Tech, SAPPHIRE PULSE Radeon RX 5600 XT DirectX 12 100419P6GL Video Card,289,3.99,
Evga, EVGA GeForce GTX 1660 Ti SC ULTRA GAMING| 06G-P4-1667-KR| 6GB GDDR6| Dual Fan| Metal Backplate,299, Free,
Gigabyte, GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD REV2.0 Video Card,119, Free,
Asus, ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition Graphics Card (DUAL-RTX2060-O6G-EVO),349, Free,
Asrock, ASRock Phantom Gaming D Radeon RX 570 DirectX 12 RX570 4G Video Card,119, Free,
Evga, EVGA GeForce RTX 2080 Ti XC HYBRID GAMING| 11G-P4-2384-KR| 11GB GDDR6| HYBRID| RGB LED Logo| Metal Backplate,1,399, Free
Evga, EVGA GeForce RTX 2060 XC GAMING| 6GB GDDR6| HDB Fan Graphics Card 06G-P4-2063-KR,369, Free,
Gigabyte, GIGABYTE Radeon RX 5600 XT DirectX 12 GV-R56XTGAMING OC-6G Video Card,289, Free,
Evga, EVGA GeForce RTX 2080 SUPER XC HYBRID GAMING| 08G-P4-3188-KR| 8GB GDDR6| RGB LED Logo| Metal Backplate,789, Free,
Evga, EVGA GeForce GTX 1660 SC ULTRA GAMING| 06G-P4-1067-KR| 6GB GDDR5| Dual Fan| Metal Backplate,239,3.99,
